"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"	"last.observed"
35	"Congo"	178	5.684	5.786	5.989	6.192	6.293	6.293	5.994	5.547	5.207	5.15	5.125	5.1	5	4.078	3.838	3.6205	3.4239	3.2565	3.1002	2.968	2.8482	2.738	2.6374	2.5509	2.4641	2.3932	2.3177	2.2496	2.1943	2.1435	2013
36	"Dem. Republic of the Congo"	180	5.98	5.98	6.04	6.15	6.289	6.462	6.72	6.975	7.136	7.036	6.703	6.074	5.5078	4.9836	4.5123	4.094	3.7443	3.4428	3.1943	2.9852	2.8045	2.6498	2.5207	2.4012	2.3049	2.2199	2.1524	2.0915	2.0493	2.0101	2008
37	"Equatorial Guinea"	226	5.501	5.499	5.53	5.658	5.68	5.68	5.79	5.89	5.89	5.868	5.638	5.36	4.9655	4.556	4.1623	3.8054	3.4945	3.2219	2.9988	2.8001	2.6458	2.5131	2.3987	2.302	2.2195	2.1506	2.0979	2.0539	2.02	1.9905	2008
38	"Gabon"	266	3.987	4.201	4.587	4.933	5.228	5.572	5.721	5.577	5.217	4.766	4.474	4.285	4.1235	3.841	3.597	3.3871	3.2027	3.0409	2.8986	2.7833	2.6805	2.5914	2.5125	2.4463	2.3881	2.338	2.2923	2.2549	2.2252	2.1998	2013
39	"Sao Tome and Principe"	678	6.2	6.2	6.3	6.4	6.5155	6.495	6.2372	5.6587	5.1633	4.7963	4.61	4.45	4.3049	4.0772	3.8139	3.5831	3.3818	3.2077	3.055	2.9196	2.7988	2.69	2.5942	2.5054	2.4289	2.3576	2.2947	2.2386	2.1887	2.145	2008
40	"Northern Africa"	912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
41	"Algeria"	12	7.648	7.648	7.648	7.648	7.572	7.175	6.49	5.374	4.131	2.885	2.3843	2.724	2.8213	2.7062	2.6098	2.5261	2.4542	2.3923	2.3378	2.2898	2.2508	2.2158	2.1871	2.1647	2.1408	2.1232	2.1039	2.0907	2.0808	2.0677	2013
42	"Egypt"	818	6.624	6.65	6.55	6.2	5.7	5.5	5.2	4.8	3.9	3.5	3.15	2.981	2.7813	2.6187	2.4812	2.3641	2.2623	2.1801	2.1047	2.044	1.995	1.9511	1.92	1.8956	1.881	1.8672	1.8594	1.8557	1.8536	1.8556	2008
43	"Libyan Arab Jamahiriya"	434	7.268	7.445	7.624	7.788	7.921	7.943	7.342	5.704	4.3201	3.301	2.924	2.6741	2.3807	2.1494	1.9657	1.82	1.7156	1.6496	1.6257	1.6348	1.6547	1.6817	1.7068	1.7343	1.7571	1.776	1.7926	1.8096	1.8239	1.8351	2008
44	"Morocco"	504	6.608	6.896	7.15	6.9504	6.427	5.9	5.4	4.447	3.701	2.968	2.522	2.376	2.781	2.6717	2.5786	2.501	2.4313	2.372	2.3227	2.278	2.2381	2.2045	2.1762	2.1548	2.134	2.1143	2.0972	2.0822	2.0709	2.0634	2013
45	"Sudan"	729	6.65	6.65	6.75	6.861	6.982	7.0187	6.879	6.7078	6.4122	5.982	5.6846	5.228	4.9729	4.6418	4.3351	4.0616	3.8157	3.5936	3.4045	3.2241	3.0734	2.9429	2.821	2.7193	2.6164	2.5248	2.4339	2.3597	2.283	2.2202	2008
46	"Tunisia"	788	6.742	6.874	7.14	6.822	6.042	5.69	4.92	3.974	3.125	2.317	2.038	2.053	2.0183	2.0073	1.9988	1.9916	1.9847	1.9802	1.9753	1.9719	1.968	1.9666	1.9632	1.9618	1.961	1.9596	1.9598	1.9573	1.9581	1.9555	2013
47	"Western Sahara"	732	6.342	6.424	6.534	6.6	6.5732	6.234	5.3321	4.537	3.961	3.1834	2.813	2.5743	2.3777	2.2199	2.0873	1.9856	1.9005	1.834	1.7923	1.7696	1.7546	1.7524	1.7571	1.7662	1.7754	1.7874	1.8016	1.8108	1.8241	1.8339	2008
48	"Southern Africa"	913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
49	"Botswana"	72	6.5	6.575	6.65	6.7	6.546	6.366	5.965	5.109	4.321	3.7	3.18	2.896	2.6496	2.456	2.2994	2.1722	2.0683	1.9825	1.9128	1.8708	1.8374	1.8194	1.8079	1.8015	1.805	1.8109	1.8186	1.8257	1.8333	1.8375	2008
50	"Lesotho"	426	5.84	5.861	5.811	5.8	5.8	5.686	5.459	5.135	4.701	4.373	3.793	3.373	3.0899	2.8563	2.6713	2.5207	2.3949	2.2919	2.203	2.1279	2.0629	2.011	1.9691	1.9384	1.917	1.9007	1.8857	1.8773	1.8716	1.868	2008
51	"Namibia"	516	6	6.1	6.2	6.3	6.6	6.6	6.2	5.547	4.912	4.292	3.808	3.401	3.095	2.8528	2.6546	2.4951	2.3607	2.2474	2.1486	2.0687	2.0006	1.9466	1.9074	1.882	1.8618	1.8498	1.8414	1.8387	1.8396	1.8438	2008
52	"South Africa"	710	6.3	6.2	6.1	5.7	5.47	5	4.556	4	3.343	2.954	2.802	2.55	2.4054	2.2821	2.1781	2.0916	2.0228	1.961	1.9142	1.8755	1.8521	1.8343	1.8264	1.8232	1.8191	1.8194	1.8232	1.8279	1.8324	1.8384	2008
53	"Swaziland"	748	6.7	6.7	6.75	6.849	6.866	6.733	6.537	6.132	5.295	4.491	4.01	3.75	3.5443	3.2156	2.9625	2.7578	2.5887	2.4479	2.3266	2.2227	2.1326	2.0549	1.9898	1.9393	1.9008	1.8704	1.8506	1.8359	1.8275	1.8253	2008
54	"Western Africa"	914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
55	"Benin"	204	5.857	6.1341	6.4228	6.6491	6.8349	6.9952	7.0087	6.8818	6.5629	6.1566	5.7841	5.314	4.9248	4.5647	4.2366	3.9482	3.6872	3.4637	3.2646	3.0951	2.9399	2.8125	2.6892	2.5822	2.4846	2.3978	2.3126	2.2405	2.1768	2.1243	2008
56	"Burkina Faso"	854	6.1035	6.243	6.35	6.5627	6.7	7.0182	7.1722	7.0658	6.932	6.7293	6.4306	6.0789	5.6853	5.2945	4.9242	4.5756	4.2617	3.972	3.72	3.4861	3.276	3.1037	2.9458	2.8088	2.691	2.5793	2.4839	2.3975	2.3118	2.2417	2008
57	"Cape Verde"	132	6.5663	6.764	6.9728	6.9654	6.8639	6.615	6.1	5.6344	4.9303	4.1449	3.2769	2.6043	2.2911	2.0922	1.9514	1.8546	1.7765	1.7285	1.6998	1.6894	1.6963	1.7052	1.718	1.7344	1.7513	1.7705	1.7851	1.7995	1.8122	1.8231	2008
58	"Cote d'Ivoire"	384	6.7739	7.1544	7.5325	7.8254	7.9261	7.8123	7.3125	6.6898	6.0486	5.6038	5.1738	4.8941	4.9157	4.633	4.2766	3.9828	3.7397	3.5364	3.3657	3.2212	3.0975	2.9913	2.9004	2.8215	2.7531	2.6935	2.6413	2.5949	2.5538	2.517	2013
59	"Gambia"	270	5.2875	5.4639	5.6969	5.9633	6.2023	6.3384	6.2918	6.1417	6.0808	5.9863	5.853	5.7884	5.7757	5.6068	5.1222	4.7231	4.3921	4.1155	3.8821	3.6841	3.5165	3.3738	3.2491	3.1423	3.0475	2.9652	2.8935	2.8298	2.7732	2.7228	2013
60	"Ghana"	288	6.442	6.6391	6.8436	6.9514	6.8975	6.6878	6.3494	5.8817	5.3426	4.8144	4.5543	4.2213	3.9182	3.6527	3.4236	3.224	3.0518	2.9004	2.7693	2.6555	2.5436	2.448	2.3651	2.2814	2.2088	2.1494	2.0983	2.056	2.0201	1.9892	2008
61	"Guinea"	324	6	6.0656	6.1313	6.1475	6.2666	6.4457	6.5978	6.6338	6.464	6.1199	5.7538	5.3882	5.0002	4.6359	4.2971	3.9951	3.7285	3.4882	3.2857	3.11	2.951	2.8137	2.692	2.5859	2.4885	2.3933	2.3159	2.2448	2.1825	2.1311	2008
62	"Guinea-Bissau"	624	7.4092	5.8746	5.8746	4.7815	7.3433	6.1069	6.6982	6.6834	6.5378	6.0471	5.6587	5.2796	4.991	4.7052	4.4287	4.1633	3.9124	3.6799	3.4691	3.2804	3.1127	2.9605	2.8275	2.7132	2.6097	2.5099	2.4292	2.3567	2.2844	2.2214	2008
63	"Liberia"	430	6.2714	6.3502	6.4695	6.5923	6.7989	6.9317	6.9555	6.7229	6.274	6.0481	5.6793	5.2287	4.8616	4.5245	4.2215	3.9476	3.7007	3.484	3.3008	3.1322	2.9819	2.8475	2.7319	2.6219	2.5244	2.4376	2.3538	2.2809	2.22	2.1621	2008
64	"Mali"	466	6.4828	6.646	6.7528	6.8714	6.9253	7.0076	7.0734	7.0904	7.012	6.8826	6.808	6.8022	6.8575	6.2168	5.6617	5.1761	4.7564	4.3893	4.0743	3.8032	3.5597	3.3484	3.1678	3.0156	2.8849	2.7679	2.6658	2.5786	2.5061	2.446	2013
65	"Mauritania"	478	6.3378	6.7053	6.7863	6.7896	6.7498	6.5726	6.2758	6.0886	5.8487	5.5341	5.2334	4.9629	4.7038	4.3458	4.0345	3.7659	3.5325	3.3256	3.1547	3.0035	2.8682	2.7488	2.6483	2.5643	2.4904	2.4283	2.3759	2.3263	2.2863	2.2542	2013
66	"Niger"	562	6.8865	6.9845	7.1336	7.3171	7.5168	7.6297	7.7663	7.7635	7.7623	7.7685	7.668	7.5788	7.5763	7.3313	6.6194	6.0336	5.5469	5.1395	4.798	4.508	4.2611	4.0493	3.8668	3.7082	3.5703	3.4485	3.3425	3.2483	3.1642	3.0899	2013
67	"Nigeria"	566	6.3544	6.3544	6.3544	6.3544	6.6094	6.7629	6.7559	6.5582	6.2322	5.9855	5.7919	5.8083	6.0752	5.9212	5.397	4.9647	4.6062	4.3069	4.0546	3.8406	3.658	3.5014	3.3674	3.2512	3.1497	3.0595	2.9807	2.9102	2.8486	2.7934	2013
68	"Senegal"	686	6.5713	6.8347	7.0552	7.2397	7.4148	7.4546	7.2454	6.8798	6.3473	5.7811	5.3864	5.1111	4.978	4.7101	4.3415	4.0391	3.7888	3.5797	3.4045	3.2559	3.1285	3.0201	2.927	2.8457	2.7745	2.7119	2.6569	2.6088	2.5662	2.5277	2013
69	"Sierra Leone"	694	5.7574	5.9111	6.1881	6.5606	6.809	7.0247	7.0108	6.7114	6.3411	6.0691	5.7272	5.1639	4.774	4.4123	4.0869	3.8027	3.5544	3.3369	3.146	2.9842	2.8402	2.7102	2.5902	2.4866	2.3938	2.3118	2.2431	2.1833	2.1294	2.0873	2008
70	"Togo"	768	6.3344	6.4217	6.6518	6.937	7.1986	7.2768	7.0567	6.6286	6.0161	5.4756	5.145	4.8922	4.6783	4.3234	4.0131	3.7468	3.515	3.317	3.1418	2.9875	2.8544	2.7448	2.6467	2.5624	2.49	2.4256	2.3704	2.322	2.2825	2.2482	2013
71	"Asia"	935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
72	"Eastern Asia"	906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
73	"China"	156	6.107	5.476	6.1116	5.937	4.765	3.0138	2.6924	2.8656	2.01	1.55	1.6416	1.6905	1.7327	1.7667	1.7919	1.8143	1.8339	1.8488	1.8619	1.8728	1.8791	1.8869	1.8922	1.8983	1.9028	1.9067	1.911	1.913	1.916	1.9192	2008
74	"China, Hong Kong SAR"	344	4.44	4.72	5.31	3.645	3.29	2.31	1.715	1.355	1.24	0.87	0.9585	1.0257	1.1237	1.2079	1.2818	1.3466	1.4043	1.4548	1.4982	1.5383	1.5731	1.6045	1.6283	1.6521	1.6752	1.6987	1.7146	1.7312	1.7442	1.7549	2008
75	"China, Macao SAR"	446	4.3858	5.1088	4.4077	2.7367	1.793	1.4079	1.9769	1.9411	1.405	1.116	0.8252	0.9379	1.0718	1.1882	1.2871	1.3749	1.4506	1.5126	1.565	1.6134	1.6522	1.6838	1.7111	1.736	1.7581	1.7748	1.7896	1.8046	1.8149	1.8257	2008
76	"Dem. People's Rep. of Korea"	408	3.462	5.117	3.8501	4.388	4.001	2.681	2.801	2.358	2.25	2.008	2.005	2	1.995	1.9874	1.9792	1.9754	1.9717	1.97	1.9665	1.965	1.9608	1.9601	1.9602	1.958	1.9554	1.9552	1.9553	1.9558	1.956	1.9538	2013
77	"Japan"	392	2.999	2.155	1.986	2.02	2.134	1.831	1.752	1.664	1.476	1.369	1.298	1.3388	1.408	1.467	1.5183	1.5643	1.6051	1.6386	1.6699	1.6991	1.7237	1.7465	1.7633	1.778	1.7941	1.8067	1.8178	1.8303	1.8368	1.8439	2008
