"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
62	"Mali"	466	6.2321	6.6378	6.6574	6.7705	6.5916	6.5535	6.5604	6.5214	6.3200	5.9728	5.6911	5.4856	5.1720	4.7370	4.2850	3.8350	3.4690	3.1830	2.9600	2.7840
63	"Mauritania"	478	6.3378	6.7053	6.7863	6.7896	6.7498	6.5726	6.2561	6.0145	5.6838	5.2883	4.8983	4.5196	4.0668	3.6127	3.2402	2.9494	2.7234	2.5442	2.3983	2.2766
64	"Niger"	562	6.8604	7.0481	7.2878	7.5258	7.7442	7.9992	8.0531	7.9432	7.7887	7.6066	7.3789	7.1466	6.8642	6.5227	6.1442	5.7232	5.2578	4.7564	4.2451	3.7678
65	"Nigeria"	566	6.5481	6.5481	6.5481	6.5481	6.7172	6.8912	6.9263	6.7574	6.4381	6.0508	5.6726	5.3186	4.7895	4.1986	3.6786	3.2736	2.9709	2.7409	2.5599	2.4128
66	"Senegal"	686	5.9674	6.4623	6.7452	7.2455	7.4980	7.5425	7.2929	6.9089	6.5020	5.8929	5.3530	5.0405	4.5017	3.9355	3.4694	3.1172	2.8529	2.6488	2.4857	2.3511
67	"Sierra Leone"	694	5.5200	5.5962	5.6971	5.7701	5.8408	5.8432	5.7075	5.5687	5.4957	5.4340	5.3318	5.2195	4.9690	4.5320	4.0960	3.6780	3.3450	3.0870	2.8850	2.7220
68	"Togo"	768	6.3344	6.4217	6.6518	6.9370	7.1986	7.2768	7.0567	6.5835	5.9926	5.3844	4.8329	4.3038	3.8670	3.4453	3.1086	2.8476	2.6432	2.4793	2.3445	2.2310
69	"Asia"	935	5.7290	5.3983	5.5506	5.4644	4.7604	4.0257	3.7189	3.4716	3.0136	2.6896	2.4983	2.3508	2.2645	2.1804	2.0926	2.0134	1.9574	1.9384	1.9220	1.9033
70	"Eastern Asia"	906	5.4167	4.6555	5.0350	5.0128	3.7932	2.6807	2.5313	2.5234	1.9736	1.7625	1.7099	1.7202	1.7529	1.7903	1.7979	1.8053	1.8181	1.8279	1.8307	1.8293
71	"China"	156	6.1070	5.4760	5.6070	5.9370	4.7650	2.9260	2.6140	2.6290	2.0120	1.8040	1.7650	1.7650	1.7900	1.8370	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
72	"China, Hong Kong SAR"	344	4.4400	4.7200	5.3100	4.0200	2.8900	2.3200	1.8000	1.3100	1.2880	1.0800	0.9770	1.0200	1.0090	1.0590	1.1090	1.1590	1.2090	1.2590	1.3090	1.3590
73	"China, Macao SAR"	446	5.0300	4.9000	5.1000	3.0000	3.2000	2.0000	2.5000	2.0500	1.5500	1.1160	0.8440	0.9530	1.0050	1.0550	1.1050	1.1550	1.2050	1.2550	1.3050	1.3550
74	"Dem. People's Rep. of Korea"	408	2.7000	3.8000	3.4100	4.0900	3.7200	2.5800	2.9300	2.4500	2.3500	2.0940	1.9170	1.8630	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
75	"Japan"	392	2.9990	2.1550	1.9860	2.0200	2.1340	1.8310	1.7520	1.6640	1.4760	1.3690	1.2980	1.2650	1.2700	1.2950	1.3450	1.3950	1.4450	1.4950	1.5450	1.5950
76	"Mongolia"	496	6.0000	6.0000	6.0000	7.3250	7.3330	6.6480	5.7380	4.8340	3.4840	2.4020	2.0610	2.0210	1.9210	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
77	"Republic of Korea"	410	5.0500	6.3320	5.6300	4.7080	4.2810	2.9190	2.2340	1.6010	1.6960	1.5140	1.2190	1.2160	1.2600	1.2850	1.3350	1.3850	1.4350	1.4850	1.5350	1.5850
78	"South-Central Asia"	921	6.0373	6.0418	6.0018	5.8555	5.5650	5.2457	4.8827	4.4819	4.0441	3.5408	3.1664	2.8172	2.5996	2.4153	2.2507	2.1040	2.0013	1.9732	1.9543	1.9354
