Country.or.area,ISO.code,Year,DataValue,DataProcess,Estimating.Methods
Afghanistan,4,1995.3,9.29,Survey,Indirect
Afghanistan,4,1996.3,9.24,Survey,Indirect
Afghanistan,4,1997.3,9.06,Survey,Indirect
Afghanistan,4,1998.3,8.76,Survey,Indirect
Afghanistan,4,1999.3,8.39,Survey,Indirect
Afghanistan,4,2000.3,7.95,Survey,Indirect
Afghanistan,4,2001.3,7.43,Survey,Indirect
Afghanistan,4,2002.3,6.77,Survey,Indirect
Afghanistan,4,2003.3,5.99,Survey,Indirect
Afghanistan,4,2004.3,5.15,Survey,Indirect
Afghanistan,4,2005.3,4.23,Survey,Indirect
Afghanistan,4,2006.3,3.19,Survey,Indirect
Afghanistan,4,1993.7,8.34,Survey,Indirect
Afghanistan,4,1994.7,6.82,Survey,Indirect
Afghanistan,4,1995.7,10.29,Survey,Indirect
Afghanistan,4,1996.7,4.65,Survey,Indirect
Afghanistan,4,1997.7,9.76,Survey,Indirect
Afghanistan,4,1998.7,6.54,Survey,Indirect
Afghanistan,4,1999.7,9.43,Survey,Indirect
Afghanistan,4,2000.7,7.68,Survey,Indirect
Afghanistan,4,2001.7,8.05,Survey,Indirect
Afghanistan,4,2002.7,7.62,Survey,Indirect
Afghanistan,4,2003.7,7.21,Survey,Indirect
Afghanistan,4,2004.7,7.16,Survey,Indirect
Afghanistan,4,2005.7,6.7,Survey,Indirect
Afghanistan,4,2006.7,4.53,Survey,Indirect
Afghanistan,4,2007.7,3.51,Survey,Indirect
Afghanistan,4,2007.2,5.28,Survey,Direct
Afghanistan,4,2007.2,6.89,Survey,Indirect
Afghanistan,4,1993.1,8.7,DHS-NS,Direct
Afghanistan,4,1998.1,8.25,DHS-NS,Direct
Afghanistan,4,2003.1,7.58,DHS-NS,Direct
Afghanistan,4,2008.1,5.66,DHS-NS,Direct
Afghanistan,4,2009.1,5.11,DHS-NS,Direct
Afghanistan,4,1996.6,8.5,MICS,Indirect
Afghanistan,4,1997.6,7.13,MICS,Indirect
Afghanistan,4,1998.6,9.25,MICS,Indirect
Afghanistan,4,1999.6,4.35,MICS,Indirect
Afghanistan,4,2000.6,9.45,MICS,Indirect
Afghanistan,4,2001.6,5.84,MICS,Indirect
Afghanistan,4,2002.6,8.86,MICS,Indirect
Afghanistan,4,2003.6,7.88,MICS,Indirect
Afghanistan,4,2004.6,8,MICS,Indirect
Afghanistan,4,2005.6,7.18,MICS,Indirect
Afghanistan,4,2006.6,7.12,MICS,Indirect
Afghanistan,4,2007.6,6.55,MICS,Indirect
Afghanistan,4,2008.6,5.76,MICS,Indirect
Afghanistan,4,2009.6,4.24,MICS,Indirect
Afghanistan,4,2010.6,3.65,MICS,Indirect
Afghanistan,4,2011.1,2.7,MICS,Direct
Afghanistan,4,2011.1,6.58,MICS,Indirect
Afghanistan,4,2011.1,3.34,Survey,Direct
Afghanistan,4,2011.1,6.22,Survey,Indirect
Afghanistan,4,2009.5,6.3, Others,Direct
Afghanistan,4,2007.5,6.3, Others,Direct
Afghanistan,4,2008.5,6.3, Others,Direct
Afghanistan,4,1979.5,7.6, Others,Direct
Albania,8,2001.3,2.6,RHS,Direct
Albania,8,2006.6,1.73,DHS,Direct
Albania,8,2007.6,1.59,DHS,Direct
Albania,8,1991.6,3.16,DHS,Indirect
Albania,8,1996.6,3.06,DHS,Indirect
Albania,8,2001.6,2.41,DHS,Indirect
Albania,8,2011.5,1.73,Census,Direct
Albania,8,1955.5,6.78, Others,Indirect
Albania,8,1956.5,6.29, Others,Indirect
Albania,8,1957.5,5.83, Others,Indirect
Albania,8,1958.5,6.23, Others,Indirect
Albania,8,1959.5,6.23, Others,Indirect
Albania,8,1960.5,6.57, Others,Indirect
Albania,8,1961.5,6.21, Others,Indirect
Albania,8,1962.5,5.93, Others,Indirect
Albania,8,1963.5,5.88, Others,Indirect
Albania,8,1964.5,5.66, Others,Indirect
Albania,8,1965.5,5.28, Others,Indirect
Albania,8,1966.5,5.06, Others,Indirect
Albania,8,1967.5,5.23, Others,Indirect
Albania,8,1968.5,5.26, Others,Indirect
Albania,8,1969.5,5.56, Others,Indirect
Albania,8,1970.5,5.12, Others,Indirect
Albania,8,1971.5,5.21, Others,Indirect
Albania,8,1972.5,5.05, Others,Indirect
Albania,8,1973.5,4.6, Others,Indirect
Albania,8,1974.5,4.56, Others,Indirect
Albania,8,1975.5,4.33, Others,Indirect
Albania,8,1976.5,4.17, Others,Indirect
Albania,8,1977.5,4.19, Others,Indirect
Albania,8,1978.5,3.9, Others,Indirect
Albania,8,1979.5,3.86, Others,Indirect
Albania,8,1980.5,3.62, Others,Indirect
Albania,8,1981.5,3.52, Others,Indirect
Albania,8,1982.5,3.63, Others,Indirect
Albania,8,1983.5,3.33, Others,Indirect
Albania,8,1984.5,3.45, Others,Indirect
Albania,8,1985.5,3.21, Others,Indirect
Albania,8,1986.5,3.06, Others,Indirect
Albania,8,1987.5,3.13, Others,Indirect
Albania,8,1988.5,3.07, Others,Indirect
Albania,8,1989.5,2.95, Others,Indirect
Albania,8,1990.5,3, Others,Indirect
Albania,8,1991.5,2.83, Others,Indirect
Albania,8,1992.5,2.85, Others,Indirect
Albania,8,1993.5,2.59, Others,Indirect
Albania,8,1994.5,2.75, Others,Indirect
Albania,8,1995.5,2.72, Others,Indirect
Albania,8,1996.5,2.53, Others,Indirect
Albania,8,1997.5,2.26, Others,Indirect
Albania,8,1998.5,2.19, Others,Indirect
Albania,8,1999.5,2.11, Others,Indirect
Albania,8,2000.5,2.03, Others,Indirect
Albania,8,2001.5,2.38, Others,Indirect
Albania,8,2002.5,1.95, Others,Indirect
Albania,8,2003.5,1.98, Others,Indirect
Albania,8,2004.5,1.79, Others,Indirect
Albania,8,2005.5,1.61, Others,Indirect
Albania,8,2006.5,1.38, Others,Indirect
Albania,8,2007.5,1.33, Others,Indirect
Albania,8,2008.5,1.44, Others,Indirect
Albania,8,2008.5,1.59,VR,Direct
Albania,8,2009.5,1.64,VR,Direct
Albania,8,2010.5,1.65,VR,Direct
Albania,8,2011.5,1.69,VR,Direct
Albania,8,2012.5,1.78,VR,Direct
Albania,8,2013.5,1.76,VR,Direct
Algeria,12,1954.3,6.29,Census,Direct
Algeria,12,1965.8,7.43,Census,Direct
Algeria,12,1970,7.86,Survey,Direct
Algeria,12,1970,7.06,Survey,Direct
Algeria,12,1984.5,5.35,WFS,Direct
Algeria,12,1986.7,5.61,Census,Direct
Algeria,12,1985,6.32,PAPCHILD,Direct
Algeria,12,1990,4.39,PAPCHILD,Direct
Algeria,12,1980,7.13,PAPCHILD,Indirect
Algeria,12,1998,2.72,Census,Direct
Algeria,12,2000.3,2.38,PAPFAM,Direct
Algeria,12,1990.3,4.91,PAPFAM,Indirect
Algeria,12,1995.3,3.65,PAPFAM,Indirect
Algeria,12,2005.8,2.67,MICS,Direct
Algeria,12,2007.8,2.74,Census,Direct
Algeria,12,2002.5,2.4, Others,Direct
Algeria,12,2005.5,2.81, Others,Direct
Algeria,12,2008.5,2.84, Others,Direct
Algeria,12,2010.5,2.87, Others,Direct
Algeria,12,2011.5,2.87, Others,Direct
Algeria,12,2012.5,3.02, Others,Direct
Algeria,12,1990.5,4.5, Others,Direct
Algeria,12,1991.5,4.36, Others,Direct
Algeria,12,1992.5,4.26, Others,Direct
Algeria,12,1993.5,4.06, Others,Direct
Algeria,12,1994.5,3.97, Others,Direct
Algeria,12,1995.5,3.51, Others,Direct
Algeria,12,1996.5,3.14, Others,Direct
Algeria,12,1998.5,2.67, Others,Direct
Algeria,12,1999.5,2.64, Others,Direct
Algeria,12,2000.5,2.63, Others,Direct
Algeria,12,2001.5,2.57, Others,Direct
Algeria,12,1964.5,6.58,VR,Direct
Algeria,12,1965.5,6.29,VR,Direct
Algeria,12,1978.5,6.78,VR,Direct
Algeria,12,1979.5,6.83,VR,Direct
Algeria,12,1980.5,6.64,VR,Direct
Algeria,12,1985.5,5.77,VR,Direct
Algeria,12,1986.5,5.03,VR,Direct
Angola,24,1996.8,6.91,MICS,Unknown
Angola,24,1983,7.05, Others,Unknown
Angola,24,1996,6.92, Others,Unknown
Angola,24,2005.6,5.78, Others,Unknown
Angola,24,2009.7,6.3, Others,Unknown
Angola,24,2001,7,MICS,Unknown
Angola,24,2005.6,5.8,MIS,Direct
Angola,24,2003.7,6.43,MIS,Direct
Angola,24,2008.7,6.63,MIS,Direct
Angola,24,2009.7,6.32,MIS,Direct
Antigua and Barbuda,28,1991.5,2.01,VR,Direct
Antigua and Barbuda,28,1992.5,2.13,VR,Direct
Antigua and Barbuda,28,1993.5,2.04,VR,Direct
Antigua and Barbuda,28,1994.5,2.11,VR,Direct
Antigua and Barbuda,28,1995.5,2.21,VR,Direct
Antigua and Barbuda,28,1972.5,2.68,VR,Direct
Antigua and Barbuda,28,1973.5,2.08,VR,Direct
Antigua and Barbuda,28,1974.5,2.08,VR,Direct
Antigua and Barbuda,28,1975.5,2.17,VR,Direct
Antigua and Barbuda,28,1977.5,2.17,VR,Direct
Antigua and Barbuda,28,1978.5,1.99,VR,Direct
Antigua and Barbuda,28,1979.5,2.06,VR,Direct
Antigua and Barbuda,28,1980.5,1.8,VR,Direct
Antigua and Barbuda,28,1981.5,1.7,VR,Direct
Antigua and Barbuda,28,1982.5,1.68,VR,Direct
Antigua and Barbuda,28,1983.5,1.74,VR,Direct
Antigua and Barbuda,28,1984.5,1.7,VR,Direct
Antigua and Barbuda,28,1985.5,1.84,VR,Direct
Antigua and Barbuda,28,1986.5,1.78,VR,Direct
Antigua and Barbuda,28,1991.5,2.01,VR,Direct
Antigua and Barbuda,28,1992.5,2.15,VR,Direct
Antigua and Barbuda,28,1993.5,2.07,VR,Direct
Antigua and Barbuda,28,1994.5,2.14,VR,Direct
Antigua and Barbuda,28,1995.5,2.27,VR,Direct
Antigua and Barbuda,28,1980.5,1.79,VR,Direct
Antigua and Barbuda,28,1990.5,2.24,VR,Direct
Antigua and Barbuda,28,1991.5,2.02,VR,Direct
Antigua and Barbuda,28,1992.5,2.17,VR,Direct
Antigua and Barbuda,28,1993.5,2.09,VR,Direct
Antigua and Barbuda,28,1994.5,2.15,VR,Direct
Antigua and Barbuda,28,1995.5,2.27,VR,Direct
Antigua and Barbuda,28,1996.5,2.37,VR,Direct
Antigua and Barbuda,28,1997.5,2.24,VR,Direct
Antigua and Barbuda,28,2000.5,2.28,VR,Direct
Antigua and Barbuda,28,1998.5,2.16,VR,Direct
Antigua and Barbuda,28,1999.5,2.08,VR,Direct
Antigua and Barbuda,28,2000.5,2.36,VR,Direct
Antigua and Barbuda,28,2001.5,2.01,VR,Direct
Azerbaijan,31,1999.9,2.07,RHS,Direct
Azerbaijan,31,2004.2,1.96,DHS,Direct
Azerbaijan,31,2005.2,2.03,DHS,Direct
Azerbaijan,31,1989.2,3.06,DHS,Indirect
Azerbaijan,31,1994.2,2.9,DHS,Indirect
Azerbaijan,31,1999.2,2.05,DHS,Indirect
Azerbaijan,31,2009.5,2.26, Others,Direct
Azerbaijan,31,2010.5,2.27, Others,Direct
Azerbaijan,31,2012.5,2.34, Others,Direct
Azerbaijan,31,1987.5,2.71, Others,Direct
Azerbaijan,31,1988.5,2.79, Others,Direct
Azerbaijan,31,1978.5,3.47, Others,Direct
Azerbaijan,31,1989.5,2.8, Others,Direct
Azerbaijan,31,1990.5,2.8, Others,Direct
Azerbaijan,31,1991.5,2.9, Others,Direct
Azerbaijan,31,1992.5,2.7, Others,Direct
Azerbaijan,31,1993.5,2.7, Others,Direct
Azerbaijan,31,1994.5,2.5, Others,Direct
Azerbaijan,31,1995.5,2.3, Others,Direct
Azerbaijan,31,1996.5,2.1, Others,Direct
Azerbaijan,31,1997.5,2.1, Others,Direct
Azerbaijan,31,1998.5,2, Others,Direct
Azerbaijan,31,1999.5,2, Others,Direct
Azerbaijan,31,2000.5,2, Others,Direct
Azerbaijan,31,2001.5,1.83, Others,Direct
Azerbaijan,31,2002.5,1.84, Others,Direct
Azerbaijan,31,2003.5,1.91, Others,Direct
Azerbaijan,31,2004.5,2.05, Others,Direct
Azerbaijan,31,2007.5,2.33, Others,Direct
Azerbaijan,31,2008.5,2.25, Others,Direct
Azerbaijan,31,1959,5.01,VR,Unknown
Azerbaijan,31,1962,5.23,VR,Unknown
Azerbaijan,31,1963,5.36,VR,Unknown
Azerbaijan,31,1964,5.44,VR,Unknown
Azerbaijan,31,1965,5.4,VR,Unknown
Azerbaijan,31,1966,5.27,VR,Unknown
Azerbaijan,31,1967,5.08,VR,Unknown
Azerbaijan,31,1968,4.97,VR,Unknown
Azerbaijan,31,1969,4.79,VR,Unknown
Azerbaijan,31,1970,4.63,VR,Unknown
Azerbaijan,31,1971,4.56,VR,Unknown
Azerbaijan,31,1972,4.3,VR,Unknown
Azerbaijan,31,1973,4.13,VR,Unknown
Azerbaijan,31,1974,4.03,VR,Unknown
Azerbaijan,31,1975,3.95,VR,Unknown
Azerbaijan,31,1976,3.92,VR,Unknown
Azerbaijan,31,1977,3.82,VR,Unknown
Azerbaijan,31,1978,3.64,VR,Unknown
Azerbaijan,31,1979,3.48,VR,Unknown
Azerbaijan,31,1980,3.33,VR,Unknown
Azerbaijan,31,1981,3.23,VR,Unknown
Azerbaijan,31,1982,3.11,VR,Unknown
Azerbaijan,31,1984,2.98,VR,Unknown
